"Geo","Year","SFDU","MFDU","GQDU"
24,2019,0,39,0
27,2019,0,5,0
29,2019,0,107,0
32,2019,0,463,0
34,2019,0,79,0
37,2019,0,28,0
42,2019,0,279,0
44,2019,0,308,0
60,2019,0,139,0
74,2019,0,82,0
96,2019,0,18,0
98,2019,0,5,0
105,2019,0,62,0
122,2019,0,31,0
123,2019,0,143,0
124,2019,0,286,0
127,2019,0,65,0
148,2019,0,47,0
150,2019,0,104,0
155,2019,0,207,0
157,2019,0,336,0
158,2019,0,392,0
159,2019,0,338,0
169,2019,1,0,0
172,2019,0,220,0
173,2019,0,242,0
181,2019,0,5,0
187,2019,0,229,0
188,2019,0,220,0
189,2019,0,57,0
191,2019,0,304,0
192,2019,0,5,0
198,2019,0,359,0
204,2019,0,400,0
208,2019,0,285,0
213,2019,0,314,0
216,2019,2,0,0
221,2019,0,347,0
233,2019,0,5,0
234,2019,0,271,0
258,2019,0,148,0
261,2019,22,5,0
264,2019,2,5,0
265,2019,0,357,0
267,2019,40,0,0
268,2019,56,3,0
270,2019,0,17,0
271,2019,137,17,0
272,2019,62,1,0
276,2019,0,5,0
278,2019,63,121,0
280,2019,0,51,0
282,2019,145,139,0
283,2019,166,6,0
284,2019,117,91,0
285,2019,48,82,0
286,2019,21,27,0
287,2019,69,69,0
288,2019,103,239,0
289,2019,27,144,0
290,2019,2,0,0
291,2019,4,264,0
292,2019,9,49,0
293,2019,0,152,0
294,2019,6,0,0
297,2019,224,861,0
298,2019,0,114,0
301,2019,0,399,0
303,2019,0,317,0
305,2019,1,238,0
307,2019,1,6,0
308,2019,0,367,0
309,2019,0,154,0
310,2019,0,392,0
312,2019,0,630,0
313,2019,1,11,0
314,2019,0,357,0
316,2019,0,356,0
318,2019,7,6,0
319,2019,0,5,0
320,2019,0,398,0
321,2019,0,361,0
322,2019,381,467,0
323,2019,191,1046,0
324,2019,33,843,0
325,2019,0,198,0
326,2019,185,749,0
327,2019,62,663,0
328,2019,17,185,0
329,2019,63,712,0
330,2019,0,926,0
331,2019,357,835,0
332,2019,289,916,0
333,2019,84,969,0
334,2019,800,682,0
335,2019,453,563,0
336,2019,328,195,0
337,2019,352,304,0
338,2019,156,100,0
339,2019,463,352,0
340,2019,158,352,0
341,2019,477,305,0
342,2019,136,315,0
343,2019,369,345,0
344,2019,83,703,0
345,2019,312,755,0
347,2019,450,1082,0
348,2019,0,329,0
349,2019,215,707,0
350,2019,251,659,0
351,2019,79,133,0
352,2019,188,825,0
353,2019,66,94,0
354,2019,0,434,0
355,2019,79,1863,0
356,2019,195,1391,0
357,2019,302,1016,0
358,2019,27,68,0
359,2019,327,777,0
360,2019,108,558,0
361,2019,215,740,0
362,2019,108,197,0
363,2019,309,0,0
364,2019,462,144,0
365,2019,264,0,0
366,2019,295,3,0
367,2019,507,917,0
368,2019,149,118,0
369,2019,524,108,0
370,2019,351,0,0
371,2019,295,628,0
373,2019,312,667,0
374,2019,34,2,0
375,2019,277,52,0
376,2019,103,10,0
378,2019,151,988,0
379,2019,152,579,0
380,2019,33,1705,0
381,2019,136,1593,0
382,2019,9,443,0
383,2019,377,1317,0
384,2019,726,146,0
385,2019,164,1396,0
386,2019,2,0,0
387,2019,165,711,0
388,2019,304,34,0
389,2019,426,50,0
390,2019,266,662,0
391,2019,1090,1070,0
392,2019,566,351,0
393,2019,219,1513,0
394,2019,815,194,0
395,2019,750,172,0
396,2019,467,1437,0
397,2019,385,543,0
398,2019,81,34,0
399,2019,895,362,0
400,2019,487,495,0
401,2019,343,49,0
402,2019,574,476,0
403,2019,349,132,0
404,2019,108,67,0
405,2019,1091,195,0
406,2019,174,87,0
407,2019,243,340,0
408,2019,135,8,0
409,2019,431,261,0
410,2019,534,208,0
411,2019,883,681,0
412,2019,1082,105,0
413,2019,983,64,0
414,2019,1749,482,0
415,2019,1458,536,0
416,2019,84,171,0
417,2019,119,3009,0
418,2019,1266,265,0
419,2019,0,505,0
420,2019,0,5,0
422,2019,0,5,0
423,2019,404,394,0
424,2019,284,0,0
425,2019,176,256,0
426,2019,1697,203,0
427,2019,185,84,0
428,2019,0,262,0
429,2019,513,70,0
430,2019,30,4,0
431,2019,368,254,0
432,2019,682,877,0
433,2019,555,356,0
434,2019,531,498,0
435,2019,183,697,0
436,2019,335,2,0
437,2019,1710,412,0
438,2019,1645,235,0
439,2019,309,155,0
440,2019,0,432,0
441,2019,201,144,0
442,2019,2,36,0
443,2019,171,14,0
444,2019,11,0,0
445,2019,8,72,0
447,2019,0,24,0
449,2019,0,406,0
450,2019,55,666,0
451,2019,4,797,0
452,2019,0,350,0
453,2019,26,4,0
454,2019,156,75,0
455,2019,156,108,0
456,2019,237,391,0
457,2019,234,41,0
458,2019,945,144,0
459,2019,179,71,0
460,2019,172,109,0
461,2019,406,152,0
462,2019,397,201,0
463,2019,220,68,0
464,2019,981,170,0
465,2019,1103,117,0
466,2019,159,83,0
467,2019,414,40,0
468,2019,41,0,0
469,2019,879,100,0
470,2019,179,22,0
471,2019,135,399,0
472,2019,337,60,0
473,2019,6,2,0
474,2019,0,5,0
475,2019,484,28,0
476,2019,559,24,0
477,2019,482,221,0
478,2019,20,0,0
480,2019,338,13,0
482,2019,308,14,0
483,2019,50,1,0
484,2019,577,46,0
485,2019,246,8,0
486,2019,9,7,0
487,2019,266,103,0
490,2019,59,2,0
491,2019,763,61,0
