Geo,Year,SFDU,MFDU,GQDU
1,2045,0,0,0
2,2045,0,0,0
3,2045,0,0,0
4,2045,0,0,0
5,2045,0,0,0
6,2045,0,0,0
7,2045,0,0,0
8,2045,0,0,0
9,2045,0,0,0
10,2045,0,0,0
11,2045,0,0,0
12,2045,0,0,0
13,2045,0,0,0
14,2045,0,0,0
15,2045,0,0,0
16,2045,0,0,0
17,2045,0,0,0
18,2045,0,0,0
19,2045,0,0,0
20,2045,0,0,0
21,2045,0,0,0
22,2045,0,0,0
23,2045,0,0,0
24,2045,0,39,0
25,2045,0,0,0
26,2045,0,0,0
27,2045,0,169,0
28,2045,0,0,0
29,2045,0,107,0
30,2045,0,0,0
31,2045,0,0,0
32,2045,0,463,0
33,2045,0,0,0
34,2045,0,79,0
35,2045,0,0,0
36,2045,0,0,0
37,2045,0,28,0
38,2045,0,0,0
39,2045,0,0,0
40,2045,0,0,0
41,2045,0,0,0
42,2045,0,279,0
43,2045,0,0,0
44,2045,0,308,0
45,2045,0,0,0
46,2045,0,0,0
47,2045,0,0,0
48,2045,0,0,0
49,2045,0,0,0
50,2045,0,0,0
51,2045,0,0,0
52,2045,0,0,0
53,2045,0,0,0
54,2045,0,0,0
55,2045,0,0,0
56,2045,0,0,0
57,2045,0,0,0
58,2045,0,0,0
59,2045,0,0,0
60,2045,0,139,0
61,2045,0,0,0
62,2045,0,0,0
63,2045,0,0,0
64,2045,0,0,0
65,2045,0,0,0
66,2045,0,0,0
67,2045,0,0,0
68,2045,0,0,0
69,2045,0,0,0
70,2045,0,0,0
71,2045,0,0,0
72,2045,0,0,0
73,2045,0,0,0
74,2045,0,82,0
75,2045,0,0,0
76,2045,0,0,0
77,2045,0,0,0
78,2045,0,0,0
79,2045,0,0,0
80,2045,0,0,0
81,2045,0,0,0
82,2045,0,0,0
83,2045,0,0,0
84,2045,0,0,0
85,2045,0,0,0
86,2045,0,0,0
87,2045,0,0,0
88,2045,0,0,0
89,2045,0,0,0
90,2045,0,0,0
91,2045,0,0,0
92,2045,0,0,0
93,2045,0,0,0
94,2045,0,0,0
95,2045,0,0,0
96,2045,0,18,0
97,2045,0,0,0
98,2045,0,290,0
99,2045,0,0,0
100,2045,0,0,0
101,2045,0,0,0
102,2045,0,0,0
103,2045,0,0,0
104,2045,0,0,0
105,2045,0,62,0
106,2045,0,0,0
107,2045,0,0,0
108,2045,0,0,0
109,2045,0,0,0
110,2045,0,0,0
111,2045,0,0,0
112,2045,0,0,0
113,2045,0,0,0
114,2045,0,0,0
115,2045,0,0,0
116,2045,0,0,0
117,2045,0,0,0
118,2045,0,0,0
119,2045,0,0,0
120,2045,0,0,0
121,2045,0,0,0
122,2045,0,31,0
123,2045,0,143,0
124,2045,0,286,0
125,2045,0,0,0
126,2045,0,0,0
127,2045,0,65,0
128,2045,0,0,0
129,2045,0,0,0
130,2045,0,0,0
131,2045,0,0,0
132,2045,0,0,0
133,2045,0,0,0
134,2045,0,0,0
135,2045,0,0,0
136,2045,0,0,0
137,2045,0,0,0
138,2045,0,0,0
139,2045,0,0,0
140,2045,0,0,0
141,2045,0,0,0
142,2045,0,0,0
143,2045,0,0,0
144,2045,0,0,0
145,2045,0,0,0
146,2045,0,0,0
147,2045,0,0,0
148,2045,0,47,0
149,2045,0,0,0
150,2045,0,104,0
151,2045,0,0,0
152,2045,0,0,0
153,2045,0,0,0
154,2045,0,0,0
155,2045,0,207,0
156,2045,0,0,0
