NewTAZ_ID_,Emp_Ctr,1b_TotRet,1b_TotServ,1b_TotEmp,,
3431,Sugar Land,320,806,1128,,
3432,Sugar Land,2516,6872,9417,,
3433,Sugar Land,33,834,866,,
3434,Sugar Land,71,1789,1867,,
3435,Sugar Land,463,3543,4048,,
3437,Sugar Land,167,134,301,,
3438,Sugar Land,1553,1202,2760,,
3440,Sugar Land,545,555,1104,,
3442,Sugar Land,185,440,625,,
3443,Sugar Land,8,795,803,,
3455,Sugar Land,50,53,105,,
3456,Sugar Land,13,670,709,,
3457,Sugar Land,782,122,904,,
3458,Sugar Land,278,1594,1875,,
3459,Sugar Land,14,100,125,,
3460,Sugar Land,32,276,308,,
3461,Sugar Land,14,39,53,,
3462,Sugar Land,309,592,1027,,
3463,Sugar Land,35,26,63,,
3464,Sugar Land,33,154,208,,
3465,Sugar Land,4703,9134,13837,,
3474,Sugar Land,361,216,578,,
3475,Sugar Land,122,148,274,,
3476,Sugar Land,62,130,206,,
3477,Sugar Land,532,216,749,,
3478,Sugar Land,25,448,487,,
3479,Sugar Land,7,98,120,,
3480,Sugar Land,420,279,699,,
3481,Sugar Land,76,235,311,,
3482,Sugar Land,98,61,168,,
3483,Sugar Land,0,91,92,,
3485,Sugar Land,35,321,373,,
3486,Sugar Land,20,167,193,,
3487,Sugar Land,792,252,1044,,
3491,Sugar Land,597,75,672,,
3496,Sugar Land,1,21,22,,
3497,Sugar Land,146,3494,3642,,
3500,Sugar Land,50,314,369,,
3502,Sugar Land,530,343,874,,
3607,Rosenberg,15,2452,2467,,
3696,Rosenberg,2,1504,1507,,
3699,Rosenberg,263,2050,2320,,
3700,Rosenberg,71,2007,2088,,
3702,Rosenberg,347,28,382,,
3703,Rosenberg,37,225,262,,
3704,Rosenberg,35,152,198,,
3710,Rosenberg,3,102,109,,
3722,Rosenberg,156,2911,3099,,
3723,Rosenberg,389,3550,3993,,
3724,Rosenberg,170,501,674,,
3725,Rosenberg,178,362,555,,
3726,Rosenberg,45,412,478,,
3727,Rosenberg,63,628,697,,
3728,Rosenberg,306,154,470,,
3729,Rosenberg,269,256,534,,
3730,Rosenberg,76,1793,1884,,
3744,Rosenberg,450,164,633,,
3745,Rosenberg,7,17,25,,
3746,Rosenberg,284,197,491,,
3747,Rosenberg,24,95,121,,
3748,Rosenberg,242,466,814,,
3749,Rosenberg,112,228,580,,
3750,Rosenberg,559,23,715,,
3751,Rosenberg,46,0,46,,
3753,Rosenberg,544,420,1379,,
3754,Rosenberg,614,584,1620,,
3755,Rosenberg,1214,2816,4589,,
3756,Rosenberg,1180,315,1688,,
3757,Rosenberg,256,127,412,,
3758,Rosenberg,1521,1242,2769,,
3761,Rosenberg,210,413,629,,
3763,Rosenberg,14,1348,1364,,
3767,Rosenberg,30,61,91,,
3768,Rosenberg,67,400,492,,
3769,Rosenberg,359,79,445,,
3770,Rosenberg,59,386,542,,
3771,Rosenberg,22,41,63,,
3772,Rosenberg,117,121,259,,
3773,Rosenberg,202,76,278,,
3774,Rosenberg,17,2,20,,
3775,Rosenberg,71,1354,1425,,
3776,Rosenberg,140,415,613,,
3777,Rosenberg,33,278,314,,
3778,Rosenberg,182,482,666,,
3779,Rosenberg,599,366,1237,,
3780,Rosenberg,140,143,283,,
3781,Rosenberg,1496,129,1641,,
3782,Rosenberg,737,20,757,,
3783,Rosenberg,51,62,155,,
3784,Rosenberg,5,455,460,,
3785,Rosenberg,66,127,219,,
3786,Rosenberg,28,1551,1579,,
3787,Rosenberg,222,127,367,,
3788,Rosenberg,97,97,197,,
3789,Rosenberg,10,78,116,,
3790,Rosenberg,48,124,266,,
3791,Rosenberg,24,263,359,,
3792,Rosenberg,228,87,330,,
3793,Rosenberg,16,137,196,,
3794,Rosenberg,0,23,23,,
3795,Rosenberg,79,345,631,,
3796,Rosenberg,3,166,712,,
3797,Rosenberg,5,1,56,,
3798,Rosenberg,0,141,148,,
3799,Rosenberg,0,2,44,,
3804,Rosenberg,202,207,483,,
3809,Rosenberg,62,112,176,,
3810,Rosenberg,324,212,783,,
4280,Conroe,1036,884,1927,,
4281,Conroe,1137,1009,2184,,
4282,Conroe,436,393,874,,
4283,Conroe,239,1935,2228,,
4284,Conroe,524,1038,1590,,
4285,Conroe,886,1908,2918,,
4293,Conroe,973,5126,6112,,
4294,Conroe,253,473,730,,
4295,Conroe,455,133,596,,
4296,Conroe,189,290,683,,
4302,Conroe,771,2659,3478,,
4303,Conroe,139,400,570,,
4304,Conroe,589,544,1193,,
4305,Conroe,434,197,760,,
4306,Conroe,1011,381,1624,,
4308,Conroe,1009,796,1907,,
4309,Conroe,748,958,1727,,
4310,Conroe,1774,504,2328,,
4311,Conroe,416,735,1156,,
4312,Conroe,2052,213,2280,,
4313,Conroe,362,1045,1432,,
4314,Conroe,28,207,324,,
4315,Conroe,12,40,74,,
4316,Conroe,18,104,122,,
4317,Conroe,3,38,52,,
4318,Conroe,52,153,205,,
4319,Conroe,9,167,208,,
4320,Conroe,274,197,473,,
4321,Conroe,74,204,277,,
4322,Conroe,14,20,47,,
4337,Conroe,0,0,0,,
4338,Conroe,0,1,6,,
4339,Conroe,112,25,137,,
4363,Conroe,228,2975,3443,,
4364,Conroe,808,49,896,,
4366,Conroe,348,192,581,,
4369,Conroe,139,359,522,,
4370,Conroe,16,38,56,,
4371,Conroe,152,442,607,,
