"Geo","Year","TotEmp","RetEmp","SvcEmp"
24,2019,4147,449,1555
27,2019,68,68,0
29,2019,275,172,103
32,2019,68,51,17
34,2019,20911,7782,10585
37,2019,253,99,154
42,2019,1480,235,602
44,2019,5875,435,5435
60,2019,34249,1558,30785
74,2019,21726,3696,14824
96,2019,19775,271,19394
98,2019,3694,413,2115
105,2019,3173,59,976
122,2019,122,0,72
123,2019,11103,746,10294
124,2019,28,22,6
127,2019,3245,189,3026
148,2019,19901,1612,18229
150,2019,3129,553,2490
155,2019,2365,2328,31
157,2019,0,0,0
158,2019,747,45,659
159,2019,580,218,362
169,2019,821,32,748
172,2019,3183,43,3138
173,2019,395,68,327
181,2019,36,0,0
187,2019,446,20,42
188,2019,69,47,22
189,2019,105,14,50
191,2019,3022,17,1173
192,2019,62,36,26
198,2019,2058,205,249
204,2019,1146,215,778
208,2019,1004,464,517
213,2019,253,37,170
216,2019,465,38,386
221,2019,5942,1285,4373
233,2019,699,419,280
234,2019,0,0,0
258,2019,2802,88,2663
261,2019,111,27,46
264,2019,1343,27,1316
265,2019,1095,70,1025
267,2019,275,37,218
268,2019,153,0,153
270,2019,193,70,123
271,2019,113,25,49
272,2019,18,15,0
276,2019,175,136,39
278,2019,525,122,319
280,2019,762,139,623
282,2019,329,101,144
283,2019,155,5,49
284,2019,116,89,26
285,2019,62,53,9
286,2019,28,0,28
287,2019,64,1,63
288,2019,167,37,123
289,2019,33,12,21
290,2019,87,85,2
291,2019,208,11,197
292,2019,32,0,32
293,2019,586,388,172
294,2019,211,173,38
297,2019,100,14,56
298,2019,90,79,11
301,2019,502,198,289
303,2019,432,321,107
305,2019,16,14,2
307,2019,80,70,10
308,2019,323,245,78
309,2019,505,428,77
310,2019,287,207,80
312,2019,21,7,1
313,2019,139,61,78
314,2019,467,189,262
316,2019,234,167,61
318,2019,441,124,317
319,2019,2306,44,1898
320,2019,48,38,10
321,2019,1316,560,699
322,2019,379,129,233
323,2019,224,113,109
324,2019,2050,325,1393
325,2019,31,0,6
326,2019,1213,996,165
327,2019,1097,626,471
328,2019,673,13,603
329,2019,710,283,403
330,2019,6003,310,5607
331,2019,775,461,292
332,2019,539,298,215
333,2019,811,101,707
334,2019,1388,573,711
335,2019,1000,608,377
336,2019,569,426,133
337,2019,750,204,424
338,2019,562,275,256
339,2019,611,199,389
340,2019,968,655,304
341,2019,670,414,251
342,2019,333,218,115
343,2019,267,107,90
344,2019,1192,229,943
345,2019,1069,443,610
347,2019,1561,582,927
348,2019,115,101,12
349,2019,1641,301,1242
350,2019,625,330,272
351,2019,75,44,31
352,2019,829,175,631
353,2019,318,156,154
354,2019,323,0,322
355,2019,1102,655,438
356,2019,1187,833,353
357,2019,1676,968,680
358,2019,3439,1364,2031
359,2019,859,434,351
360,2019,232,45,134
361,2019,1355,639,688
362,2019,125,94,31
363,2019,193,11,176
364,2019,319,14,291
365,2019,107,8,92
366,2019,112,13,99
367,2019,1174,224,950
368,2019,1955,1106,845
369,2019,340,57,263
370,2019,1107,478,620
371,2019,2669,570,793
373,2019,743,236,153
374,2019,480,36,143
375,2019,163,80,60
376,2019,117,10,11
378,2019,99,24,66
379,2019,891,193,423
