Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
BRAZORIA,2019,79485,24567,45222,127708,41950,41745
CHAMBERS,2019,9484,3162,4984,14276,4905,4494
FORT BEND,2019,174105,56823,87234,275189,90697,81346
GALVESTON,2019,67198,22565,42153,110016,44519,46434
HARRIS,2019,1045539,318598,698173,1615355,496817,472148
LIBERTY,2019,18179,5643,11849,27047,10111,10873
MONTGOMERY,2019,125103,39862,69113,193838,70681,73352
WALLER,2019,10598,5772,10034,13743,5672,6013
BRAZORIA,2045,138834,43719,91004,232534,73228,120760
CHAMBERS,2045,16953,5243,11348,29012,8318,13503
FORT BEND,2045,267429,86810,175481,441046,147237,244039
GALVESTON,2045,97856,31843,64842,164570,54029,91318
HARRIS,2045,1269031,415018,822065,2077763,705159,1145611
LIBERTY,2045,32643,10207,21674,56742,16686,26438
MONTGOMERY,2045,241048,76597,157306,399764,130359,214764
WALLER,2045,25691,7866,16062,43834,12606,18509
