Geo,Year,HhPropIncQ1,HhPropIncQ2,HhPropIncQ3,HhPropIncQ4
24,2019,0.41026,0.17949,0.33333,0.07692
27,2019,0.41026,0.17949,0.33333,0.07692
29,2019,0.39252,0.26168,0.24299,0.1028
32,2019,0.45788,0.21814,0.18143,0.14255
34,2019,0.37975,0.20253,0.26582,0.1519
37,2019,0.5,0.03571,0.32143,0.14286
42,2019,0.41935,0.21505,0.24373,0.12186
44,2019,0.37338,0.23052,0.25325,0.14286
60,2019,0.39568,0.2446,0.23022,0.1295
74,2019,0.46341,0.2439,0.18293,0.10976
96,2019,0.55556,0.11111,0.16667,0.16667
98,2019,0.55556,0.11111,0.16667,0.16667
105,2019,0.29032,0.25806,0.25806,0.19355
122,2019,0.54839,0.12903,0.16129,0.16129
123,2019,0.34266,0.16783,0.25874,0.23077
124,2019,0.43007,0.2028,0.26224,0.1049
127,2019,0.41538,0.24615,0.2,0.13846
148,2019,0.44681,0.25532,0.14894,0.14894
150,2019,0.35577,0.15385,0.24038,0.25
155,2019,0.31401,0.20773,0.28502,0.19324
157,2019,0.46726,0.20536,0.22024,0.10714
158,2019,0.39031,0.21939,0.20918,0.18112
159,2019,0.36982,0.19527,0.23669,0.19822
169,2019,0,0,1,0
172,2019,0.33636,0.25,0.23636,0.17727
173,2019,0.31405,0.20661,0.2562,0.22314
181,2019,0.31405,0.20661,0.2562,0.22314
187,2019,0.52402,0.17904,0.15721,0.13974
188,2019,0.14545,0.16364,0.3,0.39091
189,2019,0.47368,0.14035,0.24561,0.14035
191,2019,0.35855,0.21711,0.24671,0.17763
192,2019,0.35855,0.21711,0.24671,0.17763
198,2019,0.41504,0.22563,0.18942,0.16992
204,2019,0.425,0.1875,0.1825,0.205
208,2019,0.50175,0.24561,0.17544,0.07719
213,2019,0.4586,0.25159,0.17834,0.11146
216,2019,0,0,0.5,0.5
221,2019,0.33141,0.21614,0.28242,0.17003
233,2019,0.33141,0.21614,0.28242,0.17003
234,2019,0.53875,0.18081,0.1845,0.09594
258,2019,0.31081,0.27703,0.27027,0.14189
261,2019,0.18519,0.18519,0.25926,0.37037
264,2019,0,0.14286,0,0.85714
265,2019,0.22689,0.14286,0.31933,0.31092
267,2019,0.22917,0.125,0.25,0.39583
268,2019,0.26667,0.25,0.3,0.18333
270,2019,0.29412,0.17647,0.23529,0.29412
271,2019,0.18831,0.13636,0.33766,0.33766
272,2019,0.19048,0.12698,0.36508,0.31746
276,2019,0.19048,0.12698,0.36508,0.31746
278,2019,0.26087,0.17391,0.25,0.31522
280,2019,0.21569,0.29412,0.19608,0.29412
282,2019,0.21831,0.1831,0.32042,0.27817
283,2019,0.15698,0.1686,0.32558,0.34884
284,2019,0.20192,0.16346,0.33173,0.30288
285,2019,0.17557,0.19084,0.32061,0.31298
286,2019,0.29167,0.10417,0.22917,0.375
287,2019,0.23944,0.17606,0.25352,0.33099
288,2019,0.23392,0.14035,0.28363,0.34211
289,2019,0.31579,0.15205,0.21053,0.32164
290,2019,0.5,0.5,0,0
291,2019,0.23507,0.1791,0.29851,0.28731
292,2019,0.25862,0.01724,0.31034,0.41379
293,2019,0.18421,0.22368,0.21711,0.375
294,2019,0.16667,0,0.33333,0.5
297,2019,0.25253,0.21198,0.247,0.28848
298,2019,0.23684,0.17544,0.32456,0.26316
301,2019,0.19799,0.15288,0.25815,0.39098
303,2019,0.25552,0.1735,0.26814,0.30284
305,2019,0.26778,0.14226,0.34728,0.24268
307,2019,0.28571,0.42857,0.28571,0
308,2019,0.22071,0.18529,0.26703,0.32698
309,2019,0.20779,0.15584,0.27273,0.36364
310,2019,0.18112,0.17602,0.32398,0.31888
312,2019,0.2254,0.19206,0.29524,0.2873
