Geo,Year,UrbanArea,TownArea,RuralArea
24,2019,32.996,0,0
27,2019,1.694,0,0
29,2019,3.122,0,0
32,2019,1.452,0,0
34,2019,32.374,0,0
37,2019,4.712,0,0
42,2019,5.906,0,0
44,2019,8.847,0,0
60,2019,29.459,0,0
74,2019,40.203,0,0
96,2019,26.099,0,0
98,2019,12.781,0,0
105,2019,12.097,0,0
122,2019,1.435,0,0
123,2019,8.78,0,0
124,2019,1.518,0,0
127,2019,4.501,0,0
148,2019,13.021,0,0
150,2019,13.076,0,0
155,2019,5.843,0,0
157,2019,1.435,0,0
158,2019,2.874,0,0
159,2019,4.333,0,0
169,2019,5.803,0,0
172,2019,8.611,0,0
173,2019,8.619,0,0
181,2019,2.698,0,0
187,2019,6.447,0,0
188,2019,3.963,0,0
189,2019,3.63,0,0
191,2019,10.54,0,0
192,2019,2.037,0,0
198,2019,17.33,0,0
204,2019,25.962,0,0
208,2019,11.519,0,0
213,2019,9.894,0,0
216,2019,9.725,0,0
221,2019,31.172,0,0
233,2019,22.843,0,0
234,2019,1.435,0,0
258,2019,22.708,0,0
261,2019,11.389,0,0
264,2019,20.844,0,0
265,2019,7.475,0,0
267,2019,11.777,0,0
268,2019,3.766,0,0
270,2019,7.613,0,0
271,2019,11.07,0,0
272,2019,3.726,0,0
276,2019,6.476,0,0
278,2019,16.258,0,0
280,2019,7.55,0,0
282,2019,21.943,0,0
283,2019,10.961,0,0
284,2019,8.032,0,0
285,2019,9.937,0,0
286,2019,3.765,0,0
287,2019,9.579,0,0
288,2019,10.949,0,0
289,2019,3.735,0,0
290,2019,3.601,0,0
291,2019,3.741,0,0
292,2019,3.101,0,0
293,2019,11.287,0,0
294,2019,5.149,0,0
297,2019,26.712,0,0
298,2019,5.774,0,0
301,2019,16.177,0,0
303,2019,10.727,0,0
305,2019,5.252,0,0
307,2019,3.737,0,0
308,2019,8.284,0,0
309,2019,3.755,0,0
310,2019,7.61,0,0
312,2019,8.496,0,0
313,2019,5.906,0,0
314,2019,9.669,0,0
316,2019,5.725,0,0
318,2019,7.541,0,0
319,2019,11.317,0,0
320,2019,3.592,0,0
321,2019,12.799,0,0
322,2019,62.747,0,0
