Geo,Year,GrpAge0to14,GrpAge15to19,GrpAge20to29,GrpAge30to54,GrpAge55to64,GrpAge65Plus
BRAZORIA,2019,15,5,56,158,52,16
CHAMBERS,2019,0,0,0,0,0,0
FORT BEND,2019,35,11,46,146,48,40
GALVESTON,2019,43,15,393,1025,415,50
HARRIS,2019,584,178,4277,9896,3044,657
LIBERTY,2019,1,0,12,26,10,3
MONTGOMERY,2019,37,12,23,65,24,84
WALLER,2019,21,11,1426,1953,806,26
BRAZORIA,2045,15,5,57,161,53,16
CHAMBERS,2045,0,0,0,0,0,0
FORT BEND,2045,36,11,47,149,49,41
GALVESTON,2045,44,15,401,1046,423,51
HARRIS,2045,596,182,4363,10094,3105,670
LIBERTY,2045,1.15,0,13.8,31.05,11.5,3.45
MONTGOMERY,2045,38,12,23,66,24,86
WALLER,2045,24.15,12.65,1673.25,2290.8,945.3,31.05
