Geo,Year,SFDU,MFDU,GQDU
24,2019,0,78,0
27,2019,0,169,0
29,2019,0,214,0
32,2019,0,926,0
34,2019,0,158,0
37,2019,0,56,0
42,2019,0,558,0
44,2019,0,616,0
60,2019,0,278,0
74,2019,0,164,0
96,2019,0,36,0
98,2019,0,290,0
105,2019,0,124,0
122,2019,0,62,0
123,2019,0,286,0
124,2019,0,572,0
127,2019,0,130,0
148,2019,0,94,0
150,2019,0,208,0
155,2019,0,414,0
157,2019,0,672,0
158,2019,0,784,0
159,2019,0,676,0
169,2019,2,0,0
172,2019,0,440,0
173,2019,0,484,0
181,2019,0,210,0
187,2019,0,458,0
188,2019,0,440,0
189,2019,0,114,0
191,2019,0,608,0
192,2019,0,209,0
198,2019,0,718,0
204,2019,0,800,0
208,2019,0,570,0
213,2019,0,628,0
216,2019,4,0,0
221,2019,0,694,0
233,2019,0,279,0
234,2019,0,542,0
258,2019,0,296,0
261,2019,44,10,0
264,2019,5,10,0
265,2019,0,714,0
267,2019,80,0,0
268,2019,112,6,0
270,2019,0,34,0
271,2019,274,34,0
272,2019,124,2,0
276,2019,0,215,0
278,2019,126,242,0
280,2019,0,102,0
282,2019,290,278,0
283,2019,332,12,0
284,2019,234,182,0
285,2019,98,164,0
286,2019,43,74,0
287,2019,138,138,0
288,2019,206,478,0
289,2019,54,288,0
290,2019,2,0,0
291,2019,8,528,0
292,2019,19,98,0
293,2019,0,304,0
294,2019,12,0,0
297,2019,450,1722,0
298,2019,0,546,0
301,2019,0,798,0
303,2019,0,634,0
305,2019,2,284,0
307,2019,2,12,0
308,2019,0,734,0
309,2019,0,308,0
310,2019,0,784,0
312,2019,0,1260,0
313,2019,2,22,0
314,2019,0,714,0
316,2019,0,712,0
318,2019,15,12,0
319,2019,0,328,0
320,2019,0,796,0
321,2019,0,722,0
322,2019,767,934,0
323,2019,386,2168,0
324,2019,66,1686,0
325,2019,0,396,0
326,2019,370,2324,0
327,2019,124,1968,0
328,2019,34,719,0
329,2019,126,1424,0
330,2019,0,1944,0
331,2019,716,1670,0
332,2019,578,1832,0
333,2019,168,1938,0
334,2019,1601,1364,0
335,2019,907,1347,0
336,2019,656,390,0
337,2019,704,622,0
338,2019,312,200,0
339,2019,928,704,0
340,2019,317,704,0
341,2019,954,610,0
342,2019,273,630,0
343,2019,740,690,0
344,2019,166,1406,0
345,2019,625,1795,0
347,2019,901,2437,0
348,2019,0,819,0
349,2019,430,1414,0
350,2019,504,1289,0
351,2019,159,266,0
352,2019,378,1665,0
353,2019,132,188,0
354,2019,0,1033,0
355,2019,158,4154,0
356,2019,390,3072,0
357,2019,605,2412,0
358,2019,54,136,0
359,2019,655,1554,0
360,2019,217,1116,0
361,2019,430,1879,0
362,2019,216,394,0
363,2019,620,0,0
364,2019,926,288,0
365,2019,529,0,0
366,2019,591,6,0
367,2019,1014,1834,0
368,2019,298,879,0
369,2019,1048,216,0
370,2019,702,422,0
371,2019,596,1256,0
373,2019,626,1334,0
374,2019,68,4,0
375,2019,556,104,0
376,2019,210,20,0
378,2019,302,1976,0
379,2019,307,1158,0
380,2019,68,4560,0
381,2019,272,3551,0
382,2019,18,886,0
383,2019,758,3042,0
384,2019,1463,292,0
385,2019,333,2792,0
386,2019,4,0,0
387,2019,332,1582,0
388,2019,608,353,0
389,2019,853,100,0
390,2019,535,1324,0
391,2019,2181,2302,0
392,2019,1135,702,0
393,2019,438,3026,0
394,2019,1635,388,0
395,2019,1506,344,0
396,2019,941,2874,0
397,2019,774,1086,0
398,2019,163,68,0
399,2019,1792,724,0
400,2019,974,990,0
401,2019,686,98,0
402,2019,1150,952,0
403,2019,699,264,0
404,2019,217,134,0
405,2019,2185,390,0
406,2019,349,174,0
407,2019,487,680,0
408,2019,273,16,0
409,2019,864,522,0
410,2019,1069,416,0
411,2019,1775,1671,0
412,2019,2170,210,0
413,2019,1966,128,0
414,2019,3502,964,0
415,2019,2916,1056,0
416,2019,180,540,0
417,2019,238,6498,0
418,2019,2534,530,0
419,2019,0,4947,0
420,2019,0,327,0
422,2019,0,642,0
423,2019,933,3980,0
424,2019,568,647,0
425,2019,360,512,0
426,2019,3400,406,0
427,2019,370,168,0
428,2019,0,1813,0
429,2019,1030,471,0
430,2019,61,2546,0
431,2019,736,1048,0
432,2019,1365,3123,0
433,2019,1110,1351,0
434,2019,1062,1435,0
435,2019,366,2224,0
436,2019,671,1638,0
437,2019,3441,1669,0
438,2019,3295,470,0
439,2019,623,310,0
440,2019,0,1771,0
441,2019,407,288,0
442,2019,5,283,0
443,2019,344,321,0
444,2019,22,0,0
445,2019,16,319,0
447,2019,0,48,0
449,2019,0,812,0
450,2019,111,1332,0
451,2019,8,1594,0
452,2019,0,700,0
453,2019,53,8,0
454,2019,321,128,0
455,2019,313,216,0
