Geo,Year,HighCarSvcCost.2010,LowCarSvcCost.2010,AveCarSvcVehicleAge,LtTrkCarSvcSubProp,AutoCarSvcSubProp
BRAZORIA,2019,1,3,3,0.75,1
CHAMBERS,2019,1,3,3,0.75,1
FORT BEND,2019,1,3,3,0.75,1
GALVESTON,2019,1,3,3,0.75,1
HARRIS,2019,1,3,3,0.75,1
LIBERTY,2019,1,3,3,0.75,1
MONTGOMERY,2019,1,3,3,0.75,1
WALLER,2019,1,3,3,0.75,1
BRAZORIA,2045,1,3,2,0.75,1
CHAMBERS,2045,1,3,2,0.75,1
FORT BEND,2045,1,3,2,0.75,1
GALVESTON,2045,1,3,2,0.75,1
HARRIS,2045,1,3,2,0.75,1
LIBERTY,2045,1,3,2,0.75,1
MONTGOMERY,2045,1,3,2,0.75,1
WALLER,2045,1,3,2,0.75,1
