Geo,Year,MixUseProp
24,2019,0
27,2019,0
29,2019,0
32,2019,0
34,2019,0
37,2019,0
42,2019,0
44,2019,0
60,2019,0
74,2019,0
96,2019,0
98,2019,0
105,2019,0
122,2019,0
123,2019,0
124,2019,0
127,2019,0
148,2019,0
150,2019,0
155,2019,0
157,2019,0
158,2019,0
159,2019,0
169,2019,0
172,2019,0
173,2019,0
181,2019,0
187,2019,0
188,2019,0
189,2019,0
191,2019,0
192,2019,0
198,2019,0
204,2019,0
208,2019,0
213,2019,0
216,2019,0
221,2019,0
233,2019,0
234,2019,0
258,2019,0
261,2019,0
264,2019,0
265,2019,0
267,2019,0
268,2019,0
270,2019,0
271,2019,0
272,2019,0
276,2019,0
278,2019,0
280,2019,0
282,2019,0
283,2019,0
284,2019,0
285,2019,0
286,2019,0
287,2019,0
288,2019,0.830409357
289,2019,1
290,2019,0
291,2019,1
292,2019,1
293,2019,0
294,2019,0
297,2019,0.001843318
298,2019,0
301,2019,0
303,2019,0
305,2019,0
307,2019,1
308,2019,1
309,2019,1
310,2019,1
312,2019,0
313,2019,1
314,2019,1
316,2019,1
318,2019,1
319,2019,0
320,2019,0
321,2019,0
322,2019,0.738207547
323,2019,0
324,2019,0.735159817
325,2019,0
326,2019,1
327,2019,1
328,2019,1
329,2019,1
330,2019,1
331,2019,1
332,2019,1
333,2019,1
334,2019,1
335,2019,1
336,2019,1
337,2019,1
338,2019,1
339,2019,1
340,2019,1
341,2019,1
342,2019,1
343,2019,0.991596639
344,2019,1
345,2019,1
347,2019,1
348,2019,1
349,2019,1
350,2019,1
351,2019,1
352,2019,1
353,2019,1
354,2019,0
355,2019,0.316683831
356,2019,1
357,2019,0.875569044
358,2019,0.926315789
359,2019,1
360,2019,1
361,2019,1
362,2019,1
363,2019,0.653721683
364,2019,0.252475248
365,2019,1
366,2019,1
367,2019,1
368,2019,0.797752809
369,2019,0.984177215
370,2019,0.877492877
371,2019,0.183098592
373,2019,1
374,2019,0.972222222
375,2019,0.762917933
376,2019,1
378,2019,1
379,2019,1
380,2019,1
381,2019,1
382,2019,1
383,2019,0.972255018
384,2019,1
385,2019,1
386,2019,0.5
387,2019,0.844748858
388,2019,0.677514793
389,2019,0.512605042
390,2019,1
391,2019,0.854166667
392,2019,1
393,2019,1
394,2019,1
395,2019,0.928416486
396,2019,1
397,2019,1
398,2019,0.826086957
399,2019,1
400,2019,0.454175153
401,2019,0.239795918
402,2019,0.755238095
403,2019,0.376299376
404,2019,1
405,2019,0.494556765
406,2019,0.977011494
407,2019,1
408,2019,1
409,2019,0.709537572
410,2019,0.909703504
411,2019,1
412,2019,1
413,2019,1
414,2019,1
415,2019,1
416,2019,1
417,2019,1
418,2019,1
419,2019,0
420,2019,0
422,2019,0
423,2019,0
424,2019,0.580985915
425,2019,0.983796296
426,2019,1
427,2019,0.933085502
428,2019,1
429,2019,1
430,2019,0
431,2019,0.041800643
432,2019,0.776779987
433,2019,0.086717892
434,2019,0.78425656
435,2019,0.085227273
436,2019,0.15727003
437,2019,0.956173421
438,2019,0.265425532
439,2019,0.13362069
440,2019,0
441,2019,0
442,2019,0
443,2019,0
444,2019,0
445,2019,0
447,2019,0
449,2019,0.4408867
450,2019,0.785020804
451,2019,0.001248439
452,2019,1
453,2019,1
454,2019,0.727272727
455,2019,1
456,2019,1
457,2019,0.96
458,2019,0.94214876
459,2019,1
460,2019,1
461,2019,0.915770609
462,2019,0.911371237
463,2019,0.486111111
464,2019,0.262380539
465,2019,0
466,2019,0
467,2019,0
468,2019,0.926829268
469,2019,0.103166496
470,2019,0.512437811
471,2019,0.878277154
472,2019,0.289672544
473,2019,1
474,2019,0
475,2019,1
476,2019,0.97941681
477,2019,0.701280228
478,2019,0
480,2019,0.404558405
482,2019,0.801242236
483,2019,0.980392157
484,2019,0.590690209
485,2019,0
486,2019,0
487,2019,0
490,2019,1
491,2019,0.149271845
492,2019,0.025
493,2019,0.175800712
494,2019,0.155813953
495,2019,0
496,2019,0
497,2019,0
498,2019,0
499,2019,0
500,2019,0
501,2019,0
502,2019,0
