Geo,Year,SFDU,MFDU,GQDU
48039660100,2019,1828,2,0
48039660200,2019,2364,298,0
48039660301,2019,801,836,0
48039660302,2019,1042,2,0
48039660303,2019,1242,127,0
48039660401,2019,1174,159,0
48039660402,2019,1425,20,0
48039660403,2019,997,587,0
48039660501,2019,948,260,0
48039660502,2019,1303,0,0
48039660503,2019,1181,3,0
48039660504,2019,1029,3,0
48039660603,2019,280,1711,0
48039660604,2019,1182,400,0
48039660605,2019,1438,331,0
48039660606,2019,971,158,0
48039660607,2019,734,1402,0
48039660608,2019,1377,0,0
48039660609,2019,1541,0,0
48039660610,2019,1727,97,0
48039660611,2019,1759,4,0
48039660612,2019,1054,239,0
48039660613,2019,1843,0,0
48039660614,2019,2066,0,0
48039660615,2019,2402,3,0
48039660616,2019,2007,319,0
48039660703,2019,928,1071,0
48039660704,2019,1640,5,0
48039660705,2019,1279,937,0
48039660706,2019,1221,561,0
48039660707,2019,1482,0,0
48039660708,2019,3304,2,0
48039660803,2019,1353,0,0
48039660804,2019,1368,25,0
48039660805,2019,1762,0,0
48039660806,2019,947,0,0
48039660901,2019,1394,0,0
48039660902,2019,2514,1,0
48039661000,2019,3610,6,0
48039661100,2019,1527,579,0
48039661200,2019,1057,824,0
48039661300,2019,1128,76,0
48039661400,2019,2531,314,0
48039661501,2019,2546,0,0
48039661502,2019,2065,139,0
48039661601,2019,2271,653,0
48039661602,2019,1168,153,0
48039661700,2019,2185,0,0
48039661800,2019,3955,0,0
48039661901,2019,2526,0,0
48039661902,2019,4533,0,0
48039662000,2019,4702,370,0
48039662100,2019,4019,252,0
48039662200,2019,1920,959,0
48039662300,2019,1879,195,0
48039662400,2019,2667,332,0
48039662500,2019,3705,3,0
48039662600,2019,2119,96,1
48039662700,2019,1394,0,0
48039662800,2019,3251,591,0
48039662900,2019,2950,201,0
48039663000,2019,2492,160,0
48039663100,2019,2977,314,0
48039663200,2019,1671,683,3
48039663300,2019,918,81,0
48039663400,2019,1695,1628,0
48039663500,2019,1795,529,0
48039663600,2019,2065,173,0
48039663700,2019,1380,705,0
48039663800,2019,1841,1056,0
48039663900,2019,837,316,0
48039664000,2019,1052,823,0
48039664100,2019,3453,120,0
48039664200,2019,4392,113,0
48039664300,2019,1548,584,0
48039664400,2019,2980,153,0
48039664501,2019,4088,1,0
48039990000,2019,2,0,0
48071710100,2019,3093,349,0
48071710201,2019,3206,397,0
48071710202,2019,3372,8,0
48071710300,2019,1053,0,0
48071710401,2019,1798,70,0
48071710500,2019,1474,34,0
48071710600,2019,1,0,0
48071990000,2019,2,0,0
48157670101,2019,1861,103,0
48157670102,2019,879,263,0
48157670201,2019,593,1,0
48157670202,2019,2010,3,0
48157670300,2019,1328,158,0
48157670400,2019,1325,400,0
48157670500,2019,1709,102,0
48157670602,2019,758,0,0
48157670603,2019,1728,0,0
48157670604,2019,1419,0,0
48157670700,2019,5067,3,0
48157670801,2019,1528,1,0
48157670802,2019,1694,0,0
48157670803,2019,1482,2,0
48157670804,2019,1278,0,0
48157670902,2019,3448,1,0
48157670903,2019,2943,0,0
48157670904,2019,1986,0,0
48157671001,2019,2306,287,0
48157671002,2019,2141,63,0
48157671101,2019,871,1,0
48157671102,2019,1951,277,0
48157671200,2019,1996,24,0
48157671300,2019,902,485,0
48157671401,2019,659,939,0
48157671402,2019,713,1248,0
48157671501,2019,2320,496,0
48157671502,2019,622,4,0
48157671601,2019,1668,1615,0
48157671602,2019,1202,6,0
48157671700,2019,1966,111,0
48157671800,2019,798,580,0
48157671900,2019,1496,38,0
48157672002,2019,665,1688,0
48157672003,2019,562,374,0
48157672004,2019,1615,560,0
48157672100,2019,1605,81,0
48157672201,2019,427,185,0
48157672202,2019,1119,353,0
48157672303,2019,595,591,0
48157672304,2019,1289,1,0
48157672305,2019,1440,349,0
48157672306,2019,1392,0,0
48157672401,2019,696,90,0
48157672402,2019,1866,77,0
48157672500,2019,2326,0,0
48157672602,2019,1728,17,0
48157672603,2019,789,31,0
48157672604,2019,2111,30,0
48157672701,2019,1533,0,0
48157672702,2019,2019,238,0
48157672703,2019,2620,237,0
48157672801,2019,1172,234,0
48157672802,2019,450,432,0
48157672901,2019,3767,16,0
48157672902,2019,2496,6,0
48157672903,2019,3822,1306,0
48157672904,2019,2745,1,0
48157672905,2019,1255,1,0
48157672906,2019,1954,568,0
48157672907,2019,3011,73,0
48157673004,2019,893,316,0
48157673005,2019,1461,224,0
48157673006,2019,1355,811,0
48157673007,2019,771,206,0
48157673008,2019,1172,51,0
48157673009,2019,1673,245,0
48157673010,2019,1058,283,0
48157673103,2019,1404,66,0
48157673104,2019,1727,887,0
48157673105,2019,1148,45,0
48157673106,2019,1805,670,0
48157673107,2019,2270,55,0
48157673108,2019,4559,403,0
48157673109,2019,2747,419,0
48157673110,2019,1796,161,0
48157673111,2019,3104,2,0
48157673112,2019,2952,138,0
48157673113,2019,1832,386,0
48157673201,2019,3955,0,0
48157673202,2019,8116,379,0
48157673300,2019,4425,0,0
48157673401,2019,3229,2,0
48157673402,2019,2474,0,0
48157673403,2019,2056,343,0
48157673404,2019,3969,586,0
48157673501,2019,2888,388,0
48157673502,2019,840,213,0
48157673600,2019,2594,3,0
48157673700,2019,76,1,0
48157673801,2019,1020,285,0
48157673802,2019,1530,222,0
48157673902,2019,2750,631,0
48157673903,2019,1067,0,0
48157673904,2019,1646,1,0
48157674001,2019,1025,4,0
48157674002,2019,874,1276,0
48157674100,2019,2749,11,0
48157674200,2019,1749,109,0
48157674301,2019,998,303,0
48157674302,2019,2168,74,0
48157674401,2019,2154,4,0
48157674402,2019,1899,59,0
48157674403,2019,952,478,0
48157674404,2019,2345,9,0
48157674503,2019,1426,0,0
48157674504,2019,2091,0,0
48157674505,2019,1479,0,0
48157674506,2019,3838,0,0
48157674507,2019,2778,469,0
48157674508,2019,1769,675,0
48157674601,2019,1206,188,0
48157674602,2019,2769,73,0
48157674603,2019,1735,0,0
48157674604,2019,2232,245,0
48157674701,2019,1292,4,0
48157674702,2019,4731,826,0
48157674800,2019,913,1351,0
48157674900,2019,1487,203,0
48157675000,2019,880,79,0
48157675101,2019,1904,741,0
48157675102,2019,1148,288,0
48157675200,2019,1486,383,0
48157675300,2019,1930,157,0
48157675401,2019,2520,1,0
48157675402,2019,820,13,0
48157675501,2019,2306,185,0
48157675502,2019,4598,798,0
48157675503,2019,4641,0,0
48157675600,2019,2474,1,0
48157675701,2019,1741,7,0
48157675702,2019,1119,1,0
48157675800,2019,1815,1,0
48167720100,2019,2378,311,0
48167720200,2019,1910,276,0
48167720301,2019,694,87,0
48167720302,2019,2426,0,0
48167720400,2019,2858,114,0
