Geo,Year,D4c
48039660100,2019,0.005948565
48039660200,2019,4.47762E-05
48039660301,2019,0
48039660302,2019,0
48039660303,2019,0
48039660401,2019,0
48039660402,2019,0
48039660403,2019,8.88565E-05
48039660501,2019,2.87462E-05
48039660502,2019,0
48039660503,2019,0
48039660504,2019,0
48039660603,2019,3.43522E-05
48039660604,2019,0.000681662
48039660605,2019,0.000247256
48039660606,2019,0
48039660607,2019,0
48039660608,2019,5.95224E-06
48039660609,2019,0
48039660610,2019,0
48039660611,2019,2.60418E-05
48039660612,2019,0
48039660613,2019,0
48039660614,2019,0
48039660615,2019,0
48039660616,2019,0
48039660703,2019,0
48039660704,2019,0
48039660705,2019,0
48039660706,2019,0
48039660707,2019,0
48039660708,2019,0
48039660803,2019,0
48039660804,2019,0
48039660805,2019,0
48039660806,2019,0
48039660901,2019,0
48039660902,2019,0
48039661000,2019,0
48039661100,2019,0
48039661200,2019,0
48039661300,2019,0
48039661400,2019,0
48039661501,2019,0
48039661502,2019,0
48039661601,2019,0
48039661602,2019,0
48039661700,2019,0
48039661800,2019,0
48039661901,2019,0
48039661902,2019,0
48039662000,2019,0
48039662100,2019,0
48039662200,2019,0
48039662300,2019,0
48039662400,2019,0
48039662500,2019,0
48039662600,2019,0
48039662700,2019,0
48039662800,2019,0
48039662900,2019,0
48039663000,2019,0
48039663100,2019,0
48039663200,2019,0
48039663300,2019,0
48039663400,2019,0
48039663500,2019,0
48039663600,2019,0
48039663700,2019,0
48039663800,2019,0
48039663900,2019,0
48039664000,2019,0
48039664100,2019,0
48039664200,2019,0
48039664300,2019,0
48039664400,2019,0
48039664501,2019,0
48039990000,2019,0
48071710100,2019,0
48071710201,2019,0
48071710202,2019,0
48071710300,2019,0
48071710401,2019,0
48071710500,2019,0
48071710600,2019,0
48071990000,2019,0
48157670101,2019,5.294397587
48157670102,2019,3.298871848
48157670201,2019,4.026547539
48157670202,2019,5.621616865
48157670300,2019,2.567482041
48157670400,2019,11.94906767
48157670500,2019,80.31070314
48157670602,2019,17.76694211
48157670603,2019,5.618701157
48157670604,2019,2.7375567
48157670700,2019,70.72000589
48157670801,2019,0.001094881
48157670802,2019,0.319391279
48157670803,2019,14.04324264
48157670804,2019,30.32053467
48157670902,2019,0.896361452
48157670903,2019,0.824788971
48157670904,2019,0.180976836
48157671001,2019,0
48157671002,2019,1.500719931
48157671101,2019,0.000580361
48157671102,2019,4.4697E-07
48157671200,2019,0.296202133
48157671300,2019,0.046832936
48157671401,2019,0
48157671402,2019,0
48157671501,2019,0
48157671502,2019,0
48157671601,2019,0
48157671602,2019,0
48157671700,2019,0
48157671800,2019,0.130394278
48157671900,2019,0.002403431
48157672002,2019,1.08822E-06
48157672003,2019,8.44756E-11
48157672004,2019,2.36808E-05
48157672100,2019,0
48157672201,2019,0
48157672202,2019,0
48157672303,2019,0
48157672304,2019,0
48157672305,2019,0
48157672306,2019,0
48157672401,2019,0.00021056
48157672402,2019,1.31175E-05
