Geo,Year,MixUseProp
48039660100,2019,0.00189939
48039660200,2019,0.020522252
48039660301,2019,0.287420825
48039660302,2019,0.000218477
48039660303,2019,0.00034942
48039660401,2019,0.001148175
48039660402,2019,0.024735947
48039660403,2019,0.051920516
48039660501,2019,6.37211E-05
48039660502,2019,0
48039660503,2019,0.040243119
48039660504,2019,0
48039660603,2019,0.067723967
48039660604,2019,2.44E-05
48039660605,2019,0.004126676
48039660606,2019,0.010137525
48039660607,2019,0.363703802
48039660608,2019,0.003746257
48039660609,2019,0.000582778
48039660610,2019,0.136986906
48039660611,2019,2.76E-08
48039660612,2019,0.077235562
48039660613,2019,0
48039660614,2019,0
48039660615,2019,3.24124E-05
48039660616,2019,0.005448767
48039660703,2019,0.099726072
48039660704,2019,0.014442322
48039660705,2019,3.65E-06
48039660706,2019,0.000274911
48039660707,2019,4.01326E-05
48039660708,2019,1.33E-06
48039660803,2019,0
48039660804,2019,0.148945318
48039660805,2019,0
48039660806,2019,0.001597047
48039660901,2019,0
48039660902,2019,0
48039661000,2019,0.026221984
48039661100,2019,0.069089476
48039661200,2019,0.230604217
48039661300,2019,0.08930512
48039661400,2019,0.101074731
48039661501,2019,0
48039661502,2019,6.13375E-05
48039661601,2019,0.039342026
48039661602,2019,0.040027844
48039661700,2019,0
48039661800,2019,0
48039661901,2019,0
48039661902,2019,0
48039662000,2019,0
48039662100,2019,3.70246E-06
48039662200,2019,0.040981007
48039662300,2019,0.102224555
48039662400,2019,0.117198565
48039662500,2019,0
48039662600,2019,0
48039662700,2019,0
48039662800,2019,0
48039662900,2019,0
48039663000,2019,0
48039663100,2019,0.000174719
48039663200,2019,0.068314992
48039663300,2019,0.000318682
48039663400,2019,0.002802174
48039663500,2019,0.078780002
48039663600,2019,1.40381E-05
48039663700,2019,0
48039663800,2019,0.039879264
48039663900,2019,0.122699
48039664000,2019,0.00957043
48039664100,2019,0.006409557
48039664200,2019,0.003133953
48039664300,2019,0
48039664400,2019,0
48039664501,2019,0
48039990000,2019,0
48071710100,2019,0
48071710201,2019,0
48071710202,2019,0
48071710300,2019,0
48071710401,2019,0
48071710500,2019,0
48071710600,2019,0
48071990000,2019,0
48157670101,2019,0
48157670102,2019,0
48157670201,2019,0
48157670202,2019,5.95E-10
48157670300,2019,2.88E-11
48157670400,2019,0
48157670500,2019,0.062396947
48157670602,2019,0
48157670603,2019,0
48157670604,2019,9.17E-06
48157670700,2019,0
48157670801,2019,0
48157670802,2019,0
48157670803,2019,0
48157670804,2019,0
48157670902,2019,0
48157670903,2019,0
48157670904,2019,0.025600312
48157671001,2019,0.081588451
