Geo,Year,TotEmp,RetEmp,SvcEmp
24,2019,8449,906,3257
27,2019,99,99,0
29,2019,550,344,206
32,2019,136,102,34
34,2019,43761,15620,22875
37,2019,1049,293,715
42,2019,2960,470,1204
44,2019,11750,870,10870
60,2019,68498,3116,61570
74,2019,43452,7392,29648
96,2019,40711,588,39804
98,2019,8119,952,4762
105,2019,7720,145,3176
122,2019,244,0,144
123,2019,22206,1492,20588
124,2019,56,44,12
127,2019,6490,378,6052
148,2019,39803,3224,36459
150,2019,6290,1108,5010
155,2019,4730,4656,62
157,2019,0,0,0
158,2019,1494,90,1318
159,2019,1160,436,724
169,2019,2110,141,1845
172,2019,6908,86,6754
173,2019,2699,202,2308
181,2019,72,0,0
187,2019,892,40,84
188,2019,138,94,44
189,2019,210,28,100
191,2019,6520,123,2696
192,2019,124,72,52
198,2019,5505,547,1627
204,2019,2292,430,1556
208,2019,2836,954,1777
213,2019,506,74,340
216,2019,930,76,772
221,2019,11884,2570,8746
233,2019,1398,838,560
234,2019,0,0,0
258,2019,7934,329,7304
261,2019,310,58,176
264,2019,2830,61,2769
265,2019,2319,145,2171
267,2019,550,74,436
268,2019,306,0,306
270,2019,386,140,246
271,2019,226,50,98
272,2019,36,30,0
276,2019,825,290,506
278,2019,1050,244,638
280,2019,1537,278,1259
282,2019,658,202,288
283,2019,310,10,98
284,2019,232,178,52
285,2019,124,106,18
286,2019,56,0,56
287,2019,128,2,126
288,2019,337,74,249
289,2019,66,24,42
290,2019,924,177,688
291,2019,415,22,393
292,2019,64,0,64
293,2019,1969,816,1030
294,2019,1583,342,1138
297,2019,200,28,112
298,2019,851,110,681
301,2019,1004,396,578
303,2019,1553,756,726
305,2019,1321,138,1101
307,2019,663,155,463
308,2019,646,490,156
309,2019,1010,856,154
310,2019,564,404,160
312,2019,42,14,2
313,2019,278,122,156
314,2019,934,378,525
316,2019,468,334,122
318,2019,882,248,634
319,2019,5265,129,4363
320,2019,96,76,20
321,2019,3812,1131,2474
322,2019,782,258,490
323,2019,1747,265,1352
324,2019,6493,1311,4154
325,2019,62,0,12
326,2019,3065,2121,774
327,2019,2369,1411,958
328,2019,1881,596,1174
329,2019,1420,566,806
330,2019,12006,620,11214
331,2019,1550,922,584
332,2019,1078,596,430
333,2019,1622,202,1414
334,2019,2776,1146,1422
335,2019,2000,1216,754
336,2019,1138,852,266
337,2019,1524,408,872
338,2019,1154,552,540
339,2019,1222,398,778
340,2019,1936,1310,608
341,2019,1340,828,502
342,2019,666,436,230
343,2019,534,214,180
344,2019,2439,460,1939
345,2019,2139,886,1221
347,2019,3088,1101,1883
348,2019,230,202,24
349,2019,3288,602,2490
350,2019,1294,704,544
351,2019,150,88,62
352,2019,1658,350,1262
353,2019,636,312,308
354,2019,939,12,925
355,2019,2216,1327,871
356,2019,2357,1652,703
357,2019,3329,1911,1362
358,2019,6930,2732,4110
359,2019,1718,868,702
360,2019,464,90,268
361,2019,2735,1278,1401
362,2019,250,188,62
363,2019,386,22,352
364,2019,638,28,582
365,2019,214,16,184
366,2019,224,26,198
367,2019,2348,448,1900
368,2019,3964,2189,1767
369,2019,680,114,526
370,2019,2197,913,1266
371,2019,6648,1403,2545
373,2019,1578,545,324
374,2019,1025,120,303
375,2019,326,160,120
376,2019,234,20,22
378,2019,1015,75,853
379,2019,1832,429,853
380,2019,3724,1903,748
381,2019,280,133,123
382,2019,2222,136,1052
383,2019,3766,983,1528
384,2019,1746,972,472
385,2019,2265,1789,388
386,2019,614,560,0
387,2019,1318,542,702
388,2019,264,20,244
389,2019,580,232,312
390,2019,2329,54,2228
391,2019,2440,601,1757
392,2019,1494,568,714
393,2019,1415,90,1253
394,2019,5211,1054,4043
395,2019,1454,622,280
396,2019,4626,2146,2108
397,2019,1765,795,804
398,2019,18,12,6
399,2019,2499,1348,1055
400,2019,206,64,118
401,2019,400,154,246
402,2019,600,98,490
403,2019,758,250,474
404,2019,198,84,92
405,2019,931,557,368
406,2019,402,210,72
407,2019,954,378,82
408,2019,1072,772,194
409,2019,1154,376,552
410,2019,432,168,176
411,2019,3583,1508,1541
412,2019,1728,686,924
413,2019,1306,576,568
414,2019,5014,1876,2820
415,2019,2493,749,1652
416,2019,640,176,240
417,2019,2267,1117,356
418,2019,1705,880,737
419,2019,4694,1562,2100
420,2019,1738,0,0
422,2019,2422,749,839
423,2019,4918,1875,1566
424,2019,5243,2502,957
425,2019,82,40,32
426,2019,1290,240,760
427,2019,122,8,92
428,2019,1422,983,169
429,2019,820,320,160
430,2019,12657,5482,1106
431,2019,307,242,58
432,2019,5557,1950,2412
433,2019,3104,495,2541
434,2019,723,325,392
435,2019,7699,205,6095
436,2019,9348,1259,7927
437,2019,3084,1100,1022
438,2019,2949,1695,846
439,2019,254,166,39
440,2019,383,229,14
441,2019,738,140,300
442,2019,1630,418,222
443,2019,1096,329,231
444,2019,808,808,0
445,2019,1648,202,234
447,2019,1720,179,106
449,2019,446,161,139
450,2019,1469,1106,190
451,2019,1451,211,624
452,2019,316,264,46
453,2019,1545,304,337
454,2019,824,397,387
455,2019,698,194,393
456,2019,554,344,168
457,2019,314,144,122
458,2019,2247,623,828
459,2019,408,314,88
460,2019,744,454,290
461,2019,673,306,91
462,2019,849,177,613
463,2019,536,346,178
464,2019,810,284,250
465,2019,776,442,290
466,2019,384,62,282
467,2019,512,356,144
468,2019,360,122,150
469,2019,608,168,382
470,2019,284,64,148
471,2019,748,549,169
472,2019,574,242,282
473,2019,256,230,26
474,2019,1985,293,1684
475,2019,557,144,371
476,2019,1108,414,344
477,2019,1868,386,420
478,2019,2252,308,68
480,2019,908,58,234
482,2019,394,134,232
483,2019,5534,414,812
484,2019,148,80,60
485,2019,394,170,190
486,2019,5541,434,1320
487,2019,1899,163,378
490,2019,728,544,184
491,2019,648,302,286
492,2019,850,458,340
493,2019,1804,1092,424
494,2019,1384,444,916
495,2019,665,108,525
496,2019,258,132,18
497,2019,368,150,196
498,2019,516,438,76
499,2019,370,150,216
500,2019,8,4,4
501,2019,190,130,42
502,2019,320,120,200
503,2019,542,154,388
504,2019,160,112,30
505,2019,284,94,182
506,2019,436,46,156
507,2019,172,94,44
508,2019,2877,470,775
511,2019,3550,830,218
512,2019,8583,2170,1299
517,2019,3128,760,624
518,2019,2916,130,848
519,2019,604,76,168
520,2019,684,16,0
