Geo,Year,AveHhSize,Prop1PerHh
BRAZORIA,2019,2.87,0.225175481
CHAMBERS,2019,2.92,0.179330443
FORT BEND,2019,3.19,0.148997616
GALVESTON,2019,2.69,0.245417415
HARRIS,2019,2.87,0.261136387
LIBERTY,2019,2.84,0.249693
MONTGOMERY,2019,2.87,0.207808748
WALLER,2019,3.11,0.199657241
BRAZORIA,2045,2.58,0.346287208
CHAMBERS,2045,2.6,0.338197703
FORT BEND,2045,2.6,0.349857077
GALVESTON,2045,2.56,0.360657565
HARRIS,2045,2.63,0.351363522
LIBERTY,2045,2.58,0.344367192
MONTGOMERY,2045,2.58,0.349629667
WALLER,2045,2.63,0.335125198
